antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'JAM MAKING SET PRINTED'}),0.055441478439425054,0.05594095121815861,0.023308729674232753,0.4204204204204204,7.515432098765431,1.0,0.020207280633390286,1.6288687214733326,0.9178260869565218,0.2646502835538752,0.38607698286729497,0.4185435435435435
frozenset({'JAM MAKING SET PRINTED'}),frozenset({'JAM MAKING SET WITH JARS'}),0.05594095121815861,0.055441478439425054,0.023308729674232753,0.41666666666666663,7.515432098765431,1.0,0.020207280633390286,1.6192431798181284,0.9183116806772089,0.2646502835538752,0.382427536231884,0.4185435435435435
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.11998446084688384,0.05971474554636772,0.022420778067595317,0.1868640148011101,3.1292775861535342,1.0,0.015255936518605528,1.1563690103121462,0.7732106943430676,0.14255469301340862,0.1352241446438767,0.28116434940799
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.05971474554636772,0.11998446084688384,0.022420778067595317,0.37546468401486993,3.1292775861535342,1.0,0.015255936518605528,1.4090725001915967,0.7236500017823302,0.14255469301340862,0.290313309028438,0.28116434940799
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.05227815084077918,0.05971474554636772,0.029302403019035462,0.5605095541401274,9.386451353207208,1.0,0.026180626543943705,2.139489636945221,0.9427486198874616,0.3543624161073825,0.5325988110754267,0.5256079369213649
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.05971474554636772,0.05227815084077918,0.029302403019035462,0.49070631970260226,9.386451353207208,1.0,0.026180626543943705,1.8608553096629958,0.9502046970322955,0.3543624161073825,0.46261270566968377,0.5256079369213649
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03906987069204728,0.11998446084688384,0.02597258449414507,0.6647727272727273,5.540490181649988,1.0,0.021284807123802308,2.625131099846584,0.8528305332810098,0.19516263552960803,0.6190666439255391,0.4406194811201749
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.11998446084688384,0.03906987069204728,0.02597258449414507,0.21646623496762257,5.540490181649988,1.0,0.021284807123802308,1.226405513319831,0.9312455498367084,0.19516263552960803,0.18460901460476992,0.4406194811201749
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.10738664742771518,0.07725178977745713,0.029468893945279982,0.2744186046511628,3.552262095696338,1.0,0.02117308323328822,1.271736315370812,0.8049277311066056,0.18991416309012876,0.21367347309853268,0.3279420609462711
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.07725178977745713,0.10738664742771518,0.029468893945279982,0.38146551724137934,3.552262095696338,1.0,0.02117308323328822,1.4431100891760982,0.7786406223082122,0.18991416309012876,0.3070521732885112,0.3279420609462711
